"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"A3","A3","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.0",NA,"R (>= 2.15.0), xtable, pbapply",NA,NA,"randomForest, e1071",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"abc","abc","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.1",NA,"R (>= 2.10), abc.data, nnet, quantreg, MASS, locfit",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"ABCanalysis","ABCanalysis","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.0",NA,"R (>= 2.10)","Hmisc, plotrix",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"abc.data","abc.data","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"ABCoptim","ABCoptim","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.13.11",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"ABCp2","ABCp2","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,"MASS",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"abcrf","abcrf","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,"R(>= 2.10.0)","MASS, randomForest, parallel, foreach, doParallel, doRNG",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"abctools","abctools","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.4",NA,"R (>= 2.10), abc, abind, parallel, plyr",NA,NA,"ggplot2, abc.data",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"abd","abd","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2-8",NA,"R (>= 3.0), nlme, lattice, grid, mosaic",NA,NA,"boot, car, ggplot2, plyr, HH, ICC, vcd, Hmisc",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"abf2","abf2","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.7-1",NA,NA,NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.2.4"
"ABHgenotypeR","ABHgenotypeR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.1",NA,NA,"ggplot2, reshape2, utils",NA,"knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"abind","abind","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.4-3",NA,"R (>= 1.5.0)",NA,NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"abn","abn","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"Cairo, R (>= 2.15.1)","methods",NA,"INLA, Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"abodOutlier","abodOutlier","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,"cluster, R (>= 3.1.2)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"AbsFilterGSEA","AbsFilterGSEA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,"stats","Rcpp","Rcpp, RcppArmadillo",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"abundant","abundant","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.10), QUIC",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"ACA","ACA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 3.2.2)","graphics, grDevices, stats, utils",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.2.4"
"acc","acc","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2.4",NA,"R (>= 2.10), zoo, mhsmm, PhysicalActivity, nleqslv, plyr,
methods",NA,NA,NA,NA,"GNU General Public License (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"accelerometry","accelerometry","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.2.5",NA,"R (>= 3.0.0)","Rcpp (>= 0.11.0)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"AcceptanceSampling","AcceptanceSampling","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-4",NA,"methods, R(>= 2.4.0), stats","graphics, utils",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"ACCLMA","ACCLMA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"accrual","accrual","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"R(>= 2.8.0)","fgui,SMPracticals,tcltk",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"accrued","accrued","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3.5",NA,"R (>= 2.14.1), grid",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"ACD","ACD","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5.3",NA,"R(>= 2.13.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"ACDm","ACDm","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.3",NA,"R(>= 2.10.0)","plyr, dplyr, ggplot2, Rsolnp, zoo, graphics",NA,"optimx",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"acepack","acepack","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3-3.3",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.2.4"
"ACEt","ACEt","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.4",NA,"R (>= 3.1.1)","Rcpp (>= 0.11.1), splines, MASS","BH, RcppArmadillo, Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"acid","acid","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"gamlss,gamlss.dist,Hmisc,stats,graphics,splines","grDevices,utils,datasets,methods",NA,"ineq",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"acm4r","acm4r","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"MASS",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.2.4"
"acmeR","acmeR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.0",NA,"R (>= 3.1.1)","foreign (>= 0.8-63), grDevices (>= 3.1.1), graphics (>=
3.1.1), stats (>= 3.1.1), utils (>= 3.1.1)",NA,"knitr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"acnr","acnr","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2.4",NA,"R (>= 2.10), R.utils, xtable",NA,NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.2.4"
"acopula","acopula","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.9.2",NA,NA,NA,NA,"mvtnorm",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"acp","acp","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.1",NA,"tseries,quantmod",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"aCRM","aCRM","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.1",NA,NA,"dummies, randomForest, kernelFactory, ada",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"acs","acs","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,"R (>= 2.10)","stringr, methods, plyr, XML",NA,"",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"ACSNMineR","ACSNMineR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.16.01.29",NA,"R (>= 3.1.0),ggplot2, gridExtra,scales,",NA,NA,"knitr, rmarkdown,",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"acss","acss","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2-5",NA,"R (>= 2.15.0), acss.data","zoo",NA,"effects, lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"acss.data","acss.data","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"ACSWR","ACSWR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,NA,"MASS",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"ACTCD","ACTCD","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-0",NA,"R (>= 2.15.1), R.methodsS3",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"Actigraphy","Actigraphy","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3.2",NA,"R (>= 2.14.0), fda","SDMTools",NA,"lattice",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","3.2.4"
"activity","activity","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"methods","circular, overlap, pbapply,",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"activpalProcessing","activpalProcessing","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.10), graphics, grDevices, stats, utils","chron",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.2.4"
"actuar","actuar","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2-0",NA,"R (>= 2.6.0)","stats, graphics",NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"ActuDistns","ActuDistns","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3.0",NA,"R (>= 2.15.0), reliaR, actuar, hypergeo",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"ada","ada","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0-3",NA,"R(>= 2.10),rpart",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.2.4"
"adabag","adabag","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","4.1",NA,"rpart, mlbench, caret",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"adagio","adagio","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6.3",NA,"R (>= 3.0.0)","graphics, stats, quadprog",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.2.4"
"AdapEnetClass","AdapEnetClass","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,"imputeYn, glmnet, lars, quadprog, R (>= 3.0.2)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"adaptDA","adaptDA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"MASS",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
